serie,arquitectura,ventana,unidades_1,unidades_2,dropout,learning_rate,batch_size,epocas_utilizadas,val_loss
Aérea,LSTM simple,12,64,,0.2,0.001,8,17,0.0834641084074974
Aérea,LSTM simple,12,64,,0.0,0.0005,16,17,0.08391949534416199
Aérea,LSTM simple,18,64,,0.2,0.0005,16,17,0.08412687480449677
Aérea,LSTM simple,12,64,,0.0,0.001,16,20,0.08416552096605301
Aérea,LSTM simple,12,32,,0.2,0.001,8,16,0.08466599881649017
Aérea,LSTM simple,12,32,,0.0,0.0005,16,19,0.08474704623222351
Aérea,LSTM simple,12,32,,0.2,0.0005,8,25,0.08501221239566803
Aérea,LSTM apilada,12,64,32.0,0.0,0.001,16,16,0.0855599120259285
Aérea,LSTM apilada,6,32,16.0,0.0,0.0005,8,19,0.08612426370382309
Aérea,LSTM simple,18,64,,0.2,0.001,8,17,0.08770965784788132
Aérea,LSTM apilada,12,32,32.0,0.0,0.001,8,17,0.08778771013021469
Aérea,LSTM simple,18,32,,0.2,0.0005,16,18,0.08831757307052612
Aérea,LSTM simple,12,64,,0.2,0.0005,16,18,0.08844079077243805
Aérea,LSTM apilada,12,64,32.0,0.2,0.0005,8,16,0.08862660825252533
Aérea,LSTM apilada,12,64,32.0,0.2,0.001,16,18,0.08863703161478043
Aérea,LSTM simple,18,64,,0.2,0.001,16,20,0.0887715220451355
Aérea,LSTM simple,6,16,,0.2,0.0005,16,31,0.0890260562300682
Aérea,LSTM simple,18,16,,0.0,0.001,8,19,0.08926155418157578
Aérea,LSTM apilada,12,32,16.0,0.0,0.0005,8,18,0.0898895189166069
Aérea,LSTM apilada,12,64,16.0,0.2,0.0005,8,16,0.09078547358512878
Aérea,LSTM simple,18,64,,0.0,0.001,8,17,0.0908113494515419
Aérea,LSTM simple,6,16,,0.2,0.0005,8,23,0.09088439494371414
Aérea,LSTM apilada,12,32,32.0,0.0,0.001,16,19,0.09090600907802582
Aérea,LSTM apilada,12,32,32.0,0.2,0.001,16,20,0.09092255681753159
Aérea,LSTM simple,18,16,,0.0,0.0005,8,19,0.09128997474908829
Aérea,LSTM apilada,12,32,16.0,0.0,0.001,16,16,0.09130528569221497
Aérea,LSTM apilada,18,64,32.0,0.2,0.001,16,19,0.0918249860405922
Aérea,LSTM simple,18,16,,0.2,0.001,16,19,0.09190502017736435
Aérea,LSTM apilada,12,32,32.0,0.0,0.0005,16,18,0.09194236993789673
Aérea,LSTM apilada,12,32,32.0,0.2,0.001,8,17,0.0922274962067604
Aérea,LSTM simple,18,32,,0.0,0.0005,16,19,0.09241531044244766
Aérea,LSTM apilada,12,32,16.0,0.2,0.001,8,16,0.09255832433700562
Aérea,LSTM simple,18,32,,0.2,0.001,16,20,0.09269977360963821
Aérea,LSTM apilada,12,64,16.0,0.2,0.001,8,17,0.0927334800362587
Aérea,LSTM simple,12,32,,0.0,0.001,16,22,0.09305325895547867
Aérea,LSTM apilada,12,64,32.0,0.0,0.001,8,17,0.09322911500930786
Aérea,LSTM simple,12,16,,0.2,0.001,16,19,0.09329110383987427
Aérea,LSTM apilada,12,64,16.0,0.0,0.001,16,19,0.09344218671321869
Aérea,LSTM apilada,12,64,16.0,0.0,0.0005,16,17,0.09379014372825623
Aérea,LSTM simple,12,64,,0.0,0.0005,8,19,0.09385846555233002
Aérea,LSTM apilada,12,64,32.0,0.2,0.0005,16,21,0.09400428831577301
Aérea,LSTM apilada,12,32,16.0,0.2,0.0005,16,20,0.0940607562661171
Aérea,LSTM simple,12,64,,0.0,0.001,8,18,0.09453138709068298
Aérea,LSTM apilada,18,32,32.0,0.2,0.001,16,19,0.09461095929145813
Aérea,LSTM apilada,12,64,16.0,0.0,0.001,8,17,0.09467843919992447
Aérea,LSTM apilada,12,32,16.0,0.0,0.0005,16,19,0.09511178731918335
Aérea,LSTM apilada,12,64,32.0,0.2,0.001,8,24,0.09512323141098022
Aérea,LSTM apilada,12,32,16.0,0.2,0.001,16,17,0.09525598585605621
Aérea,LSTM apilada,18,32,16.0,0.2,0.0005,16,18,0.09534931927919388
Aérea,LSTM apilada,18,32,16.0,0.0,0.0005,16,18,0.09586036950349808
Aérea,LSTM simple,12,32,,0.0,0.001,8,19,0.09613527357578278
Aérea,LSTM simple,18,64,,0.0,0.0005,16,17,0.09613751620054245
Aérea,LSTM apilada,18,32,16.0,0.2,0.001,8,16,0.09615824371576309
Aérea,LSTM apilada,12,32,32.0,0.2,0.0005,16,22,0.09625045210123062
Aérea,LSTM apilada,18,32,16.0,0.2,0.001,16,19,0.09669715166091919
Aérea,LSTM apilada,12,32,32.0,0.2,0.0005,8,28,0.09679675102233887
Aérea,LSTM simple,18,32,,0.2,0.001,8,35,0.09692811220884323
Aérea,LSTM simple,12,16,,0.2,0.0005,16,26,0.09713573753833771
Aérea,LSTM simple,18,32,,0.2,0.0005,8,18,0.09782856702804565
Aérea,LSTM apilada,12,64,32.0,0.0,0.0005,8,16,0.09790581464767456
Aérea,LSTM apilada,12,64,16.0,0.0,0.0005,8,16,0.09829114377498627
Aérea,LSTM apilada,12,64,16.0,0.2,0.001,16,20,0.09846344590187073
